"name","date","hour","rn"
"BYND","2020-05-14","13","137.97"
"BYND","2020-05-14","14","139.56"
"BYND","2020-05-14","15","141.0"
"BYND","2020-05-14","16","138.24"
"BYND","2020-05-14","17","137.79"
"BYND","2020-05-14","18","135.73"
"BYND","2020-05-14","19","135.85"
"DDOG","2020-05-14","13","67.25"
"DDOG","2020-05-14","14","66.55"
"DDOG","2020-05-14","15","65.0"
"DDOG","2020-05-14","16","64.88"
"DDOG","2020-05-14","17","65.0"
"DDOG","2020-05-14","18","64.13"
"DDOG","2020-05-14","19","65.87"
"FB","2020-05-14","13","203.87"
"FB","2020-05-14","14","203.35"
"FB","2020-05-14","15","204.27"
"FB","2020-05-14","16","205.1"
"FB","2020-05-14","17","205.64"
"FB","2020-05-14","18","204.99"
"FB","2020-05-14","19","206.93"
"NFLX","2020-05-14","13","452.0"
"NFLX","2020-05-14","14","446.51"
"NFLX","2020-05-14","15","440.64"
"NFLX","2020-05-14","16","440.34"
"NFLX","2020-05-14","17","441.78"
"NFLX","2020-05-14","18","441.44"
"NFLX","2020-05-14","19","442.14"
"OKTA","2020-05-14","13","178.0"
"OKTA","2020-05-14","14","177.81"
"OKTA","2020-05-14","15","179.89"
"OKTA","2020-05-14","16","179.01"
"OKTA","2020-05-14","17","178.5"
"OKTA","2020-05-14","18","177.81"
"OKTA","2020-05-14","19","177.85"
"PINS","2020-05-14","13","16.54"
"PINS","2020-05-14","14","16.67"
"PINS","2020-05-14","15","16.94"
"PINS","2020-05-14","16","17.04"
"PINS","2020-05-14","17","17.03"
"PINS","2020-05-14","18","16.91"
"PINS","2020-05-14","19","17.09"
"SHOP","2020-05-14","13","758.09"
"SHOP","2020-05-14","14","752.0"
"SHOP","2020-05-14","15","757.47"
"SHOP","2020-05-14","16","754.16"
"SHOP","2020-05-14","17","755.82"
"SHOP","2020-05-14","18","751.8"
"SHOP","2020-05-14","19","755.57"
"SNAP","2020-05-14","13","16.73"
"SNAP","2020-05-14","14","16.93"
"SNAP","2020-05-14","15","17.15"
"SNAP","2020-05-14","16","16.99"
"SNAP","2020-05-14","17","17.0"
"SNAP","2020-05-14","18","16.92"
"SNAP","2020-05-14","19","16.97"
"SQ","2020-05-14","13","72.81"
"SQ","2020-05-14","14","75.59"
"SQ","2020-05-14","15","76.49"
"SQ","2020-05-14","16","76.75"
"SQ","2020-05-14","17","77.18"
"SQ","2020-05-14","18","77.26"
"SQ","2020-05-14","19","78.25"
"TTD","2020-05-14","13","289.45"
"TTD","2020-05-14","14","290.07"
"TTD","2020-05-14","15","296.86"
"TTD","2020-05-14","16","294.5"
"TTD","2020-05-14","17","296.0"
"TTD","2020-05-14","18","295.77"
"TTD","2020-05-14","19","297.67"
